V_0	V_1	V_2	
0.000837046	-0.00374586	-0.00101143	
0.000912114	-0.00367517	-0.0010194	
0.000832231	-0.00376691	-0.00101387	
0.000909796	-0.00372	-0.0010188	
0.000872411	-0.00373617	-0.00100923	
0.000840969	-0.00372595	-0.0010166	
0.000890717	-0.00377744	-0.00104614	
0.000890955	-0.00379545	-0.00100097	
0.00087461	-0.00372826	-0.000946242	
0.0008777	-0.00375615	-0.0010254	
0.000927627	-0.00369354	-0.00103354	
0.000893927	-0.00376418	-0.00109629	
0.0008925	-0.00375597	-0.00102623	
0.000942486	-0.00375223	-0.00107668	
0.000835619	-0.00375496	-0.00100204	
0.000893867	-0.00378326	-0.00101274	
0.000875264	-0.00376679	-0.00105666	
0.000899157	-0.0037373	-0.00110836	
0.000875085	-0.00371661	-0.00110194	
0.000860107	-0.00380425	-0.00100585	
0.000869439	-0.00375472	-0.00108809	
0.000840969	-0.00376525	-0.00105238	
0.000881029	-0.00376614	-0.00105517	
0.00093048	-0.00371292	-0.00103229	
0.000901772	-0.00377648	-0.0011121	
0.000934462	-0.00375246	-0.0010815	
0.000849171	-0.00376727	-0.000990455	
0.000957345	-0.00378689	-0.000979105	
0.000889707	-0.00377214	-0.00104643	
0.00086088	-0.00373332	-0.0010153	
0.000844297	-0.00373974	-0.00101494	
0.000878235	-0.00367475	-0.00106943	
0.000833896	-0.00373207	-0.00104233	
0.00092626	-0.00372268	-0.00104923	
0.000831875	-0.00381281	-0.000991049	
0.000891906	-0.00374372	-0.000920927	
0.000874134	-0.0037241	-0.00102047	
0.00086088	-0.00371857	-0.0010557	
0.000923645	-0.00373813	-0.000998894	
0.000887151	-0.0037159	-0.00105208	
0.000829378	-0.00373356	-0.00108173	
0.000878235	-0.00372321	-0.000958543	
0.000870449	-0.00367648	-0.00102956	
0.000886794	-0.00374307	-0.00109647	
0.000857551	-0.00373284	-0.00103699	
0.000911342	-0.00377363	-0.00100977	
0.000844654	-0.00376388	-0.00106925	
0.000982784	-0.00373576	-0.00105256	
0.000881029	-0.00375086	-0.00100466	
0.000819928	-0.00376881	-0.00103651	
0.000875977	-0.00378094	-0.00108251	
0.000887329	-0.00369675	-0.00100151	
0.000847388	-0.00371958	-0.00101708	
0.000824148	-0.00378368	-0.00105333	
0.000862663	-0.0037505	-0.00109148	
0.000866645	-0.00377958	-0.00105178	
0.000846318	-0.0037244	-0.00100424	
0.000859572	-0.00372505	-0.000986058	
0.000826407	-0.00376049	-0.00102688	
0.000830389	-0.00372333	-0.00110479	
0.000936127	-0.00379533	-0.00103823	
0.00089458	-0.0036801	-0.00102409	
